joey_word,kangaroo_word,anti-kangaroo,twin-kangaroo
sad,dismayed,False,False
heritable,inheritable,False,False
monish,admonish,False,False
rid,eradicated,False,False
hushed,shushed,False,False
rash,brash,False,False
pinned,pinioned,False,False
early,prematurely,False,False
practical,practicable,False,False
nth,umpteenth,False,False
nerd,neckbeard,False,False
tutor,instructor,False,False
balm,balsam,False,False
rain,precipitation,False,False
lucid,pellucid,False,False
idle,indolent,False,False
die,dice,False,False
cession,concession,False,False
corporal,corporeal,False,False
cleaner,cleanser,False,False
recurrence,reoccurrence,False,False
bad,substandard,False,False
joy,joviality,False,False
laudatory,applaudatory,False,False
empathic,empathetic,False,False
tumble,stumble,False,False
varied,variegated,False,False
eat,feast,False,False
ire,irateness,False,False
fervid,perfervid,False,False
vet,investigate,False,False
boned,deboned,False,False
overt,covert,True,False
eminent,preeminent,False,False
pure,prurient,True,False
venturous,adventurous,False,False
dominant,predominant,False,False
equa,equilateral,False,False
face,facade,False,False
used,exhausted,False,False
sole,isolated,False,False
aver,asseverate,False,False
enumerable,denumerable,False,False
late,belated,False,False
sign,insignia,False,False
noble,honorable,False,False
decor,decoration,False,False
spry,sprightly,False,False
lies,calumnies,False,False
shady,shadowy,False,False
waning,weakening,False,False
effete,effective,True,False
bare,bearded,True,False
art,cartoon,False,False
sever,dissever,False,False
lie,recline,False,False
mist,moisture,False,False
male,female,True,False
one,joined,False,False
vacate,evacuate,False,False
partly,partially,False,False
quiet,quiescent,False,False
racist,supremacist,False,False
dire,distressing,False,False
using,utilising,False,False
nut,neurotic,False,False
man,masculine,False,True
grand,grandiose,False,False
ate,feasted,True,True
sue,prosecute,False,False
plate,platter,False,False
lineation,delineation,False,False
last,latest,False,False
sly,stealthy,False,False
lump,clump,False,False
traced,tracked,False,False
mean,demeaning,False,False
scally,scallywag,False,False
roughly,thoroughly,True,False
round,rotund,False,False
demon,cacodemon,False,False
clean,cleanse,False,False
shutting,shuttering,False,False
cut,sculpt,False,False
here,there,True,False
egoist,egotist,False,False
son,scion,False,False
radiate,irradiate,False,False
rage,rampage,False,False
sack,ransack,False,False
me,myself,False,False
valuable,invaluable,False,False
lymphoma,lymphosarcoma,False,False
venturesome,adventuresome,False,False
sputter,splutter,False,False
evil,devilish,False,False
soluble,dissoluble,False,False
one,confederated,False,False
story,history,False,False
hen,chicken,False,False
inhuman,inhumane,False,False
reckless,wreckless,True,False
use,abuse,True,False
can,contain,False,False
anomaly,abnormality,False,False
old,oldfangled,False,False
case,capsule,False,False
cue,clue,False,False
conciliation,reconciliation,False,False
spiteful,despiteful,False,False
joy,jollity,False,False
tied,entwined,False,False
lure,allurement,False,False
bus,omnibus,False,False
grated,granulated,False,False
is,exists,False,False
tomb,catacomb,False,False
abate,exacerbate,True,False
barbarred,barbarricaded,False,False
fed,surfeited,False,False
lush,plush,False,False
analog,analogue,False,False
evolve,devolve,True,False
act,affect,False,False
apt,apposite,False,False
ban,banish,False,False
joy,enjoyment,False,False
mar,impair,False,False
bar,barristers,False,False
rub,scrub,False,False
fiend,friend,True,False
quintet,quintuplet,False,False
noxious,obnoxious,False,False
one,alone,False,True
bar,barrier,False,False
trusty,trustworthy,False,False
verity,veracity,False,False
yen,yearning,False,False
blot,blotch,False,False
contrary,contradictory,False,False
equal,equitable,False,False
ate,feasted,False,True
as,because,False,False
road,promenade,False,False
ruin,destruction,False,False
rim,perimeter,False,False
rue,remorsefulness,False,False
depot,depository,False,False
subtle,subtile,False,False
minute,diminutive,False,False
implied,implicated,False,False
care,charge,False,False
join,conjoin,False,False
reticle,reticule,False,False
sextet,sextuplet,False,False
laud,applaud,False,False
slid,slithered,False,False
guise,disguise,False,False
dead,deceased,False,False
be,breathe,False,False
hies,hurries,False,False
lied,falsified,False,False
instant,instantaneous,False,False
bare,barren,False,False
treat,threat,True,False
effete,effeminate,False,False
sin,transgression,False,False
ration,fraction,False,False
evolution,revolution,True,False
unruly,unruffianly,True,False
case,casket,False,False
daze,dazzle,False,False
twixt,betwixt,False,False
mankind,humankind,False,False
cold,cooled,False,False
extra,extraneous,False,False
truly,truthfully,False,False
acclimate,acclimatize,False,False
confab,confabulate,False,False
event,eventuality,False,False
area,arena,False,False
rutrote,routroutine,False,False
mixture,admixture,False,False
mates,matches,False,False
dissociate,disassociate,False,False
art,adroitness,False,False
privation,deprivation,False,False
flammable,inflammable,False,False
bar,debar,False,False
rouse,arouse,False,False
infinitely,indefinitely,False,False
smidge,smidgen,False,False
amble,perambulate,False,False
spat,disputation,False,False
pants,pantaloons,False,False
fact,fabrication,True,False
art,artifice,False,False
raucous,rambunctious,False,False
art,artistry,False,False
mart,market,False,False
save,salvage,False,False
semblance,resemblance,False,False
see,observe,False,False
revived,revivified,False,False
mated,consummated,False,False
ere,before,False,False
rude,prudent,True,False
closed,cloistered,False,False
odious,melodious,True,False
arm,department,False,False
expo,exposition,False,False
cur,scoundrel,False,False
ruled,regulated,False,False
evinced,evidenced,False,False
coven,convent,True,False
gently,negligently,True,False
antique,antiquated,False,False
tacky,tacky,False,False
rot,deteriorat,False,False
urge,encourage,False,False
ornate,ornamented,False,False
superior,supervisor,False,False
pet,pest,True,False
curt,courteous,True,False
dame,damsel,False,False
under,underneath,False,False
bust,burst,False,False
part,separate,False,False
con,deception,False,False
nursed,nourished,False,False
charm,charisma,False,False
can,canister,False,True
city,municipality,False,False
criminate,incriminate,False,False
pal,playfellow,False,False
dead,departed,False,False
amiable,amicable,False,False
tries,strives,False,False
prate,prattle,False,False
void,devoid,False,False
persona,personality,False,False
sate,satiate,False,False
errant,aberrant,False,False
sent,disseminated,False,False
desire,desiderate,False,False
amity,amicability,False,True
giant,gigantic,False,False
cede,concede,False,False
dominion,domination,False,False
kin,kindred,False,False
spot,splotch,False,False
domitable,dominatable,False,False
sad,disappointed,False,False
brass,brashness,False,False
cave,cavern,False,False
erred,misinterpreted,False,False
savaged,salvaged,True,False
amity,animosity,True,False
purge,expurgate,False,False
electric,electrical,False,False
actor,practioner,False,False
habitable,inhabitable,False,False
moan,bemoan,False,False
actual,factual,False,False
dally,dillydally,False,False
rascal,rapscallion,False,False
cut,curtail,False,False
recap,recapitulate,False,False
lies,falsities,False,False
passive,impassive,False,False
blah,balderdash,False,False
apt,appropriate,False,False
bombed,bombarded,False,False
vocation,avocation,False,False
liar,plagiarist,False,False
pliant,compliant,False,False
isle,islet,False,False
fragilefrail,frangiblefrangiblefragil,False,False
raging,ravaging,False,False
new,newfangled,False,False
con,cozen,False,False
regardless,irregardless,False,False
exploitive,exploitative,False,False
rigmarole,rigamarole,False,False
be,befall,False,False
cumber,encumber,False,False
dent,indentation,False,False
bloom,blossom,False,False
pert,impertinent,False,False
hotel,hostelry,False,False
quashed,squashed,False,False
obliged,obligated,False,False
irate,infuriated,False,False
heir,inheritor,False,False
durable,perdurable,False,False
catenate,concatenate,False,False
split,splinter,False,False
ableability,capableability,False,False
rest,respite,False,False
taint,contaminate,False,False
drunk,drunkard,False,False
midst,midsection,False,False
ugly,unsightly,False,False
node,nodule,False,False
mute,closemouthed,False,False
inability,incapability,False,False
catalog,catalogue,False,False
fiction,fabrication,False,False
braces,brackets,False,False
blah,blatherskite,False,True
openly,outspokenly,False,False
sated,satisfied,False,False
completist,completionist,False,False
icon,iconoclast,True,False
stun,astound,False,False
arc,arch,False,False
irate,iritated,False,False
debated,deliberated,False,False
doubtable,redoubtable,True,False
allot,allocate,False,False
fit,felicitous,False,False
valuation,evaluation,False,False
mute,communicative,True,False
prorate,proportionate,False,False
act,action,False,False
revolt,revolution,False,False
embowel,disembowel,False,False
cocoa,chocolate,False,False
dab,daub,False,False
lit,lighted,False,False
bide,abide,False,False
woeful,wonderful,True,False
regress,retrogress,False,False
sign,signal,False,False
grated,aggravated,False,False
alternate,alternative,False,False
lit,illuminated,False,False
infuse,interfuse,False,False
suppliant,supplicant,False,False
coun,communi,False,False
toxic,intoxicate,False,False
used,accustomed,False,False
sock,stocking,False,False
progenitor,primogenitor,False,False
reigned,resigned,True,False
airy,imaginary,False,False
fuddled,befuddled,False,False
acid,acrid,False,False
unity,unanimity,False,False
weal,wealth,False,False
posed,postured,False,False
predation,depredation,False,False
total,teetotal,False,False
hedge,hedgerow,False,False
offer,proffer,False,False
he,she,True,False
